"","item","cond","WordCount"
"1",1,1,181
"2",1,2,181
"3",1,3,181
"4",1,4,181
"5",1,5,181
"6",1,6,181
"7",1,7,181
"8",1,8,181
"9",2,1,212
"10",2,2,210
"11",2,3,212
"12",2,4,210
"13",2,5,212
"14",2,6,210
"15",2,7,210
"16",2,8,212
"17",3,1,183
"18",3,2,186
"19",3,3,185
"20",3,4,184
"21",3,5,183
"22",3,6,186
"23",3,7,184
"24",3,8,185
"25",4,1,207
"26",4,2,204
"27",4,3,207
"28",4,4,204
"29",4,5,207
"30",4,6,204
"31",4,7,204
"32",4,8,207
"33",5,1,188
"34",5,2,189
"35",5,3,188
"36",5,4,189
"37",5,5,188
"38",5,6,189
"39",5,7,189
"40",5,8,188
"41",6,1,169
"42",6,2,166
"43",6,3,168
"44",6,4,167
"45",6,5,169
"46",6,6,166
"47",6,7,167
"48",6,8,168
"49",7,1,187
"50",7,2,190
"51",7,3,186
"52",7,4,191
"53",7,5,188
"54",7,6,190
"55",7,7,191
"56",7,8,187
"57",8,1,193
"58",8,2,194
"59",8,3,192
"60",8,4,195
"61",8,5,193
"62",8,6,194
"63",8,7,195
"64",8,8,192
"65",9,1,194
"66",9,2,193
"67",9,3,194
"68",9,4,193
"69",9,5,194
"70",9,6,193
"71",9,7,193
"72",9,8,194
"73",10,1,175
"74",10,2,175
"75",10,3,175
"76",10,4,175
"77",10,5,175
"78",10,6,175
"79",10,7,175
"80",10,8,175
"81",11,1,195
"82",11,2,196
"83",11,3,197
"84",11,4,194
"85",11,5,195
"86",11,6,196
"87",11,7,194
"88",11,8,197
"89",12,1,171
"90",12,2,174
"91",12,3,176
"92",12,4,169
"93",12,5,171
"94",12,6,174
"95",12,7,169
"96",12,8,176
"97",13,1,200
"98",13,2,197
"99",13,3,200
"100",13,4,197
"101",13,5,200
"102",13,6,197
"103",13,7,197
"104",13,8,200
"105",14,1,215
"106",14,2,213
"107",14,3,216
"108",14,4,212
"109",14,5,215
"110",14,6,213
"111",14,7,212
"112",14,8,216
"113",15,1,192
"114",15,2,193
"115",15,3,192
"116",15,4,193
"117",15,5,192
"118",15,6,193
"119",15,7,193
"120",15,8,192
"121",16,1,190
"122",16,2,192
"123",16,3,190
"124",16,4,192
"125",16,5,190
"126",16,6,192
"127",16,7,192
"128",16,8,190
"129",17,1,195
"130",17,2,193
"131",17,3,194
"132",17,4,194
"133",17,5,195
"134",17,6,193
"135",17,7,194
"136",17,8,194
"137",18,1,199
"138",18,2,198
"139",18,3,199
"140",18,4,198
"141",18,5,199
"142",18,6,198
"143",18,7,198
"144",18,8,199
"145",19,1,195
"146",19,2,195
"147",19,3,195
"148",19,4,195
"149",19,5,195
"150",19,6,195
"151",19,7,195
"152",19,8,195
"153",20,1,209
"154",20,2,209
"155",20,3,208
"156",20,4,210
"157",20,5,209
"158",20,6,209
"159",20,7,210
"160",20,8,208
"161",21,1,189
"162",21,2,189
"163",21,3,189
"164",21,4,189
"165",21,5,189
"166",21,6,189
"167",21,7,189
"168",21,8,189
"169",22,1,189
"170",22,2,188
"171",22,3,189
"172",22,4,188
"173",22,5,189
"174",22,6,188
"175",22,7,188
"176",22,8,189
"177",23,1,195
"178",23,2,194
"179",23,3,197
"180",23,4,192
"181",23,5,195
"182",23,6,194
"183",23,7,192
"184",23,8,197
"185",24,1,206
"186",24,2,206
"187",24,3,208
"188",24,4,204
"189",24,5,206
"190",24,6,206
"191",24,7,204
"192",24,8,208
"193",25,1,187
"194",25,2,185
"195",25,3,187
"196",25,4,185
"197",25,5,187
"198",25,6,185
"199",25,7,185
"200",25,8,187
"201",26,1,192
"202",26,2,192
"203",26,3,192
"204",26,4,192
"205",26,5,192
"206",26,6,192
"207",26,7,192
"208",26,8,192
